code,year,Manip,Readty,Analy,Turn,Roe,Lev,Size,Comstate,Roc,PE,PS,Eps,Opps,Rps,Ncfops,IO,MO,ED,Beta,PB,sector,TOPSalary,Readty_predicted,Readty2,Lnma,Equity,Same,Digital,Big4
sz.000006,2014,0,10.9889052,1.945910149,430.741985,0.122877,0.6414,11753217519,0,0.43,11.935,2.0641,0.18,0.22,0.48,-0.7,36.8564,0.8403,0.1413,0.99143,1.881835,K,14.91363239,12.38760158,11.47703025,0,1,0,0,0
sz.000008,2014,1,16.30484429,1.098612289,341.772728,0.013595,0.1123,674028043.8,0,1.4544,384.1739,22.0286,0.03,0.05,0.75,0.15,57.7374,0.8403,4.2288,0.73328,7.322812,C,14.06237142,11.78835156,16.77983088,0.693147181,0,0,0,0
sz.000009,2014,0,12.00478291,1.098612289,497.353704,0.092547,0.6289,14725495571,0,0.6444,451.2195,4.6914,0.02,0.05,0.56,0.01,28.5349,0.0151,1.7296,1.07167,3.277625,S,15.63762156,13.00147022,12.49279125,0,0,1,0,0
sz.000010,2014,0,12.72264907,0,644.741331,-0.136476,0.3141,804218432.4,21286805,-0.0352,-787.234,12.0086,-0.02,-0.02,0.22,-0.13,48.63,0,1.3113,1.01213,6.89374375,E,14.61535781,12.21174231,13.19885849,0,0,0,0,0
sz.000012,2014,0,13.45376349,2.63905733,456.821719,0.095987,0.443,15284388305,0,0.0921,13.6058,2.3856,0.07,0.13,1.44,0.46,15.6545,0.6463,1.4809,1.05192,1.9317925,C,14.85355899,12.2856047,13.95101152,0,1,0,0,1
sz.000017,2014,0,13.32570187,0,389.182663,0.410446,0.7379,51489647.55,0,0.5659,2.4129,14.0119,0,0,0.25,0.01,19.7105,0.0015,0.2311,0.49273,370.5371633,C,14.06471242,11.63503734,13.80967537,0,0,0,0,0
sz.000019,2014,1,13.17645747,0,321.120222,0.013723,0.1394,1154612268,8140475,0.2158,-85.794,5.2822,-0.03,-0.05,0.26,-0.21,48.156,0,2.2112,0.91086,2.40749175,F,14.34966259,11.95770343,13.67555691,0.693147181,1,0,0,0
sz.000028,2014,2,11.95620812,2.995732274,142.661626,0.136947,0.6219,12828941541,0,0.0309,26.9296,0.8165,1.39,1.98,58.15,-1.63,75.8488,0.0007,0.1918,0.77885,3.60016975,F,15.41287609,12.67200345,12.45401811,1.098612289,1,0,0,1
sz.000032,2014,0,12.09147489,0,181.98309,0.073923,0.4607,2766920133,0,0.2687,433.0709,1.5759,-0.05,-0.05,4.46,0.29,47.8902,0.0007,0.3712,1.00903,1.8977025,E,14.73284115,12.26411228,12.56761414,0,1,0,0,0
sz.000034,2014,1,12.84439629,0,485.651771,0.371121,0.6412,461668045.3,17901671,0.6247,128.5714,4.5934,0.01,0.01,0.38,-0.08,42.2465,0.0012,2.1176,0.90814,14.60043275,F,14.8486954,12.3837878,13.32181864,0.693147181,0,1,0,0
sz.000035,2014,1,15.44480402,1.945910149,527.609903,0.107889,0.5043,3272286231,0,0.1857,178.7771,31.3339,0.16,0.17,0.46,0.3,61.6215,7.0971,1.6682,0.73476,54.9435535,N,12.99453228,10.86950984,15.91619514,0.693147181,0,0,0,0
sz.000048,2014,0,13.37022543,0,197.41971,0.219977,0.6951,1982938749,0,-0.0486,-813.0769,2.6387,0.02,0.04,1.35,1,30.2062,0,0.686,0.7381,7.74659125,C,15.71242567,12.9697135,13.85405735,0,0,0,1,0
sz.000059,2014,1,10.87185923,1.098612289,466.764873,-0.163181,0.726,34597604045,0,0.9739,-88.6704,0.3791,-0.19,-0.15,5.97,0.03,60.4463,0.0003,0.2356,1.08854,1.19431025,C,14.17786007,11.94615739,11.36185966,0.693147181,1,0,0,0
sz.000060,2014,2,12.15375807,2.63905733,312.046044,0.077957,0.5408,14215785395,0,0.5111,31.8029,0.9271,0.2,0.12,8.36,0.15,51.3864,0.0914,0.4159,1.21515,2.316142,C,15.55774727,12.95784223,12.65128954,1.098612289,1,0,0,0
sz.000065,2014,1,19.72661253,0,404.962625,0.192316,0.7598,4917983849,0,0.6224,19.3205,1.553,0.55,0.79,7.38,1.53,69.4745,0,0.0949,1.20379,3.447306,E,14.7130673,12.28975894,20.19872334,0.693147181,1,0,0,0
sz.000066,2014,1,11.27881489,0,242.082683,-0.005145,0.7912,40551722167,0,0.5119,67.891,0.0974,-0.02,-0.35,41.42,-0.17,57.299,0.0024,0.5118,0.97122,0.78921925,C,14.95896905,12.49278352,11.78788479,0.693147181,1,0,0,0
sz.000069,2014,0,13.64890942,3.135494216,466.438559,0.169797,0.6601,94875367925,4117991411,0.5566,14.2068,2.1305,0.39,0.61,2.64,-0.58,75.8733,0.2476,0.8,0.92763,1.38515275,K,15.18631837,12.71245787,14.12701291,0,1,0,0,0
sz.000070,2014,0,12.38473102,0,237.412089,0.052015,0.5163,2608137126,12284119,0.0815,43.3635,1.8981,0.17,0.24,4.55,0.01,55.6906,0.0636,1.0877,1.16711,2.307397667,C,14.64711492,12.19712208,12.87767303,0,1,0,1,0
sz.000078,2014,1,12.36487564,0,680.086826,0.016545,0.8149,9631706546,0,0.294,64.3186,0.8943,0.07,0.19,9.86,-0.27,27.4578,0.1724,0.5082,0.76009,3.588916,F,14.66992631,12.18585898,12.85225009,0.693147181,0,0,1,0
